CustomerID,first_purchase,last_purchase,num_orders,total_revenue,recency_days,lifespan_days,is_churned,churn_status,value_tier,recency_bucket
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,325,0,True,Churned,VIP,181-365 days
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,7,4310.0,1,365,False,Active,VIP,0-30 days
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,4,1797.24,74,282,False,At Risk,VIP,61-90 days
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,18,0,False,Active,VIP,0-30 days
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,309,0,True,Churned,Medium Value,181-365 days
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,8,2506.04,35,260,False,At Risk,VIP,31-60 days
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,203,0,True,Churned,Low Value,181-365 days
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,231,0,True,Churned,High Value,181-365 days
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,213,0,True,Churned,Medium Value,181-365 days
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,3,2811.43,22,302,False,Active,VIP,0-30 days
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,32,0,False,At Risk,VIP,31-60 days
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,2,1168.06,1,149,False,Active,High Value,0-30 days
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,4,6372.58,57,274,False,At Risk,VIP,31-60 days
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,3,2662.06,51,148,False,At Risk,VIP,31-60 days
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,286,0,True,Churned,Low Value,181-365 days
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,5226.23,2,292,False,Active,VIP,0-30 days
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,109,132,False,Hibernating,Medium Value,91-120 days
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1,7,104,False,Active,High Value,0-30 days
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38,290,0,True,Churned,Medium Value,181-365 days
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,3,0,False,Active,Low Value,0-30 days
12370,2010-12-14 12:58:00,2011-10-19 14:51:00,4,3545.69,50,309,False,At Risk,VIP,31-60 days
12371,2011-10-11 10:43:00,2011-10-26 10:16:00,2,1887.96,44,14,False,At Risk,VIP,31-60 days
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1298.04,71,224,False,At Risk,High Value,61-90 days
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,310,0,True,Churned,Medium Value,181-365 days
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.9300000000001,24,0,False,Active,High Value,0-30 days
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,457.5,10,87,False,Active,Medium Value,0-30 days
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,2,1628.12,314,39,True,Churned,High Value,181-365 days
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,129,0,False,Hibernating,VIP,121-180 days
12379,2011-06-22 16:32:00,2011-09-19 10:09:00,2,852.24,81,88,False,At Risk,High Value,61-90 days
12380,2011-06-07 09:49:00,2011-11-18 11:27:00,4,2724.81,21,164,False,Active,VIP,0-30 days
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,1845.31,4,115,False,Active,VIP,0-30 days
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1850.56,184,167,True,Churned,VIP,181-365 days
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,585.27,28,92,False,Active,Medium Value,0-30 days
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,401.9,337,29,True,Churned,Medium Value,181-365 days
